Year,Value
1901,-0.3777
1902,-0.3553
1903,-0.3767
1904,-0.3981
1905,-0.3902
1906,-0.3377
1907,-0.2781
1908,-0.2509
1909,-0.2502
1910,-0.2700
1911,-0.3360
1912,-0.3051
1913,-0.2816
1914,-0.3002
1915,-0.3119
1916,-0.3077
1917,-0.2607
1918,-0.2249
1919,-0.2035
1920,-0.1963
1921,-0.2437
1922,-0.2888
1923,-0.2965
1924,-0.2991
1925,-0.2556
1926,-0.2530
1927,-0.2535
1928,-0.2607
1929,-0.2351
1930,-0.1937
1931,-0.1858
1932,-0.1647
1933,-0.1842
1934,-0.1858
1935,-0.1540
1936,-0.2060
1937,-0.1714
1938,-0.1281
1939,-0.1312
1940,-0.0740
1941,-0.0777
1942,-0.0991
1943,-0.1070
1944,-0.1407
1945,-0.1244
1946,-0.0726
1947,-0.0456
1948,-0.0477
1949,-0.0821
1950,-0.0898
1951,-0.1058
1952,-0.0905
1953,-0.0707
1954,-0.0628
1955,-0.1153
1956,-0.1423
1957,-0.1102
1958,-0.1121
1959,-0.1488
1960,-0.1640
1961,-0.1788
1962,-0.2014
1963,-0.1888
1964,-0.1637
1965,-0.1630
1966,-0.1788
1967,-0.1560
1968,-0.1770
1969,-0.1728
1970,-0.1674
1971,-0.1600
1972,-0.2037
1973,-0.1865
1974,-0.1812
1975,-0.2170
1976,-0.1216
1977,-0.0935
1978,-0.0800
1979,-0.0370
1980,-0.0574
1981,-0.0840
1982,-0.1195
1983,-0.1730
1984,-0.1463
1985,-0.1495
1986,-0.1372
1987,-0.1049
1988,-0.0977
1989,-0.1184
1990,-0.1221
1991,-0.0705
1992,-0.0300
1993,-0.0379
1994,-0.0437
1995,-0.0633
1996,0.0147
1997,0.0074
